province,date,precipitation
Soc Trang,2020-07-22,0.36404083595013814
Soc Trang,2020-07-23,6.2903607566552235
Soc Trang,2020-07-24,12.18325403626795
Soc Trang,2020-07-25,0.6584115077308721
Soc Trang,2020-07-26,0
Soc Trang,2020-07-27,1.2309081672532545
Soc Trang,2020-07-28,1.5511993283115608
Soc Trang,2020-07-29,16.88945160443995
Soc Trang,2020-07-30,20.32283028083872
Soc Trang,2020-07-31,24.920446014698552
Soc Trang,2020-08-01,24.324889638395188
Soc Trang,2020-08-02,29.71604879808667
Soc Trang,2020-08-03,15.710964799628254
Soc Trang,2020-08-04,0.25869553580636395
Soc Trang,2020-08-05,30.455358655487288
Soc Trang,2020-08-06,32.49183585878758
Soc Trang,2020-08-07,0
Soc Trang,2020-08-08,0.3308873675286912
Soc Trang,2020-08-09,6.485242166403682
Soc Trang,2020-08-10,0.1965757996293256
Soc Trang,2020-08-11,8.065073191838525
Soc Trang,2020-08-12,10.578321644228147
Soc Trang,2020-08-13,9.823920089325318
Soc Trang,2020-08-14,5.461628617150492
Soc Trang,2020-08-15,3.6725803105095647
Soc Trang,2020-08-16,9.85529163921019
Soc Trang,2020-08-17,8.303529152653926
Soc Trang,2020-08-18,13.67609793047359
Soc Trang,2020-08-19,11.01867496160188
Soc Trang,2020-08-20,7.361923797732843
Soc Trang,2020-08-21,3.4179393628177
Soc Trang,2020-08-22,2.1964518959907977
Soc Trang,2020-08-23,0.5897243260129711
Soc Trang,2020-08-24,0.28910998994954196
Soc Trang,2020-08-25,0.3133794897307879
Soc Trang,2020-08-26,1.314663036645357
Soc Trang,2020-08-27,0
Soc Trang,2020-08-28,2.174631737133132
Soc Trang,2020-08-29,9.105225585201968
Soc Trang,2020-08-30,0.9119697470197772
Soc Trang,2020-08-31,0.07862475193607978
Soc Trang,2020-09-01,4.400775596788322
Soc Trang,2020-09-02,12.391334285778834
Soc Trang,2020-09-03,0.7976694862411028
Soc Trang,2020-09-04,0
Soc Trang,2020-09-05,2.3365500184968737
Soc Trang,2020-09-06,6.378537690312618
Soc Trang,2020-09-07,0
Soc Trang,2020-09-08,3.0572426565494197
Soc Trang,2020-09-09,15.944033710408448
Soc Trang,2020-09-10,9.936544571377006
Soc Trang,2020-09-11,8.980621026795811
Soc Trang,2020-09-12,11.52391597975769
Soc Trang,2020-09-13,26.402832028362944
Soc Trang,2020-09-14,22.55474383543567
Soc Trang,2020-09-15,10.998226385132675
Soc Trang,2020-09-16,12.388749946959122
Soc Trang,2020-09-17,30.22018215426842
Soc Trang,2020-09-18,40.70556638176551
Soc Trang,2020-09-19,5.744666959858124
Soc Trang,2020-09-20,1.7836585247779317
Soc Trang,2020-09-21,0.1029112091259885
Soc Trang,2020-09-22,11.698178110532423
Soc Trang,2020-09-23,3.9543356859636103
Soc Trang,2020-09-24,7.1233144151933345
Soc Trang,2020-09-25,23.02099458001341
Soc Trang,2020-09-26,17.833740848181044
Soc Trang,2020-09-27,54.2007180511129
Soc Trang,2020-09-28,19.540702444422873
Soc Trang,2020-09-29,17.03366425645749
Soc Trang,2020-09-30,0
Soc Trang,2020-10-01,14.26580147551124
Soc Trang,2020-10-02,10.53778165609725
Soc Trang,2020-10-03,0.6494573676392524
Soc Trang,2020-10-04,14.955123971017558
Soc Trang,2020-10-05,25.533380607804425
Soc Trang,2020-10-06,16.586549625842558
Soc Trang,2020-10-07,3.5804109216090336
Soc Trang,2020-10-08,16.31399980643204
Soc Trang,2020-10-09,25.83161495553189
Soc Trang,2020-10-10,24.885819789506503
